TOPc8e46a00	START
TOPc3f05f39	rp_gen_seed	0
TOPc3f05f39	runtime	0
TOPc3f05f39	segment_size	32
TOPc3f05f39	show	0
TOPc3f05f39	status	0
TOPc3f05f39	machine_readable	0
TOPc3f05f39	status_timer	10
TOPc3f05f39	usage	0
TOPc3f05f39	username	0
TOPc3f05f39	version	0
TOPc3f05f39	weak_hash_threshold	100
TOPc3f05f39	workload_profile	2
TOPc3f05f39	limit	0
TOPc3f05f39	skip	0
TOPc3f05f39	separator	:
TOPc3f05f39	opencl_platforms	1
TOPc3f05f39	opencl_device_types	2
TOPc3f05f39	opencl_vector_width	0
TOPc3f05f39	rule_buf_l	:
TOPc3f05f39	rule_buf_r	:
TOPc3f05f39	session	hashcat
TOPc3f05f39	veracrypt_pim	0
TOPc3f05f39	hashlist_mode	5
TOPc3f05f39	hashlist_format	0
TOP869b82ae	START
TOP869b82ae	attack_mode	0
TOP869b82ae	attack_kern	0
TOP869b82ae	benchmark	1
TOP869b82ae	stdout_flag	0
TOP869b82ae	bitmap_min	16
TOP869b82ae	bitmap_max	24
TOP869b82ae	debug_mode	0
TOP869b82ae	force	0
TOP869b82ae	kernel_accel	0
TOP869b82ae	kernel_loops	0
TOP869b82ae	nvidia_spin_damp	100
TOP869b82ae	gpu_temp_disable	0
TOP869b82ae	gpu_temp_abort	90
TOP869b82ae	gpu_temp_retain	75
TOP869b82ae	hash_mode	0
TOP869b82ae	hex_charset	0
TOP869b82ae	hex_salt	0
TOP869b82ae	hex_wordlist	0
TOP869b82ae	increment	0
TOP869b82ae	increment_max	54
TOP869b82ae	increment_min	1
TOP869b82ae	keyspace	0
TOP869b82ae	left	0
TOP869b82ae	logfile_disable	0
TOP869b82ae	loopback	0
TOP869b82ae	markov_classic	0
TOP869b82ae	markov_disable	0
TOP869b82ae	markov_threshold	0
TOP869b82ae	outfile_autohex	1
TOP869b82ae	outfile_check_timer	5
TOP869b82ae	outfile_format	3
TOP869b82ae	potfile_disable	0
TOP869b82ae	powertune_enable	0
TOP869b82ae	scrypt_tmto	0
TOP869b82ae	quiet	0
TOP869b82ae	remove	0
TOP869b82ae	remove_timer	60
TOP869b82ae	restore	0
TOP869b82ae	restore_disable	0
TOP869b82ae	restore_timer	60
TOP869b82ae	rp_gen	0
TOP869b82ae	rp_gen_func_max	4
TOP869b82ae	rp_gen_func_min	1
TOP869b82ae	rp_gen_seed	0
TOP869b82ae	runtime	0
TOP869b82ae	segment_size	32
TOP869b82ae	show	0
TOP869b82ae	status	0
TOP869b82ae	machine_readable	0
TOP869b82ae	status_timer	10
TOP869b82ae	usage	0
TOP869b82ae	username	0
TOP869b82ae	version	0
TOP869b82ae	weak_hash_threshold	100
TOP869b82ae	workload_profile	2
TOP869b82ae	limit	0
TOP869b82ae	skip	0
TOP869b82ae	separator	:
TOP869b82ae	opencl_platforms	1
TOP869b82ae	opencl_vector_width	0
TOP869b82ae	rule_buf_l	:
TOP869b82ae	rule_buf_r	:
TOP869b82ae	session	hashcat
TOP869b82ae	veracrypt_pim	0
TOP869b82ae	hashlist_mode	5
TOP869b82ae	hashlist_format	0
